"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",13400,"SD@LAD 10:10PM ET",26.148,"LAD"
"SP","Stephen Strasburg",13300,"WAS@PHI 07:05PM ET",23.024,"WAS"
"SP","Chris Sale",13200,"TOR@BOS 07:10PM ET",28.726,"BOS"
"SP","Robbie Ray",13000,"SF@ARI 09:40PM ET",23.881,"ARI"
"SP","Max Scherzer",12900,"WAS@PHI 07:05PM ET",26.226,"WAS"
"SP","Justin Verlander",12600,"HOU@TEX 08:05PM ET",19.625,"HOU"
"SP","Yu Darvish",12300,"SD@LAD 10:10PM ET",18.342,"LAD"
"SP","Zack Greinke",12100,"SF@ARI 09:40PM ET",21.042,"ARI"
"SP","Carlos Martinez",11500,"CHC@STL 08:15PM ET",18.791,"STL"
"SP","Dallas Keuchel",11300,"HOU@TEX 08:05PM ET",18.059,"HOU"
"SP","Kenta Maeda",10700,"SD@LAD 10:10PM ET",14.325,"LAD"
"SP","Zack Godley",10600,"SF@ARI 09:40PM ET",18.986,"ARI"
"SP","Jose Quintana",10100,"CHC@STL 08:15PM ET",18.065,"CHC"
"SP","David Price",10000,"TOR@BOS 07:10PM ET",16.138,"BOS"
"SP","Luke Weaver",9900,"CHC@STL 08:15PM ET",16.885,"STL"
"SP","Madison Bumgarner",9900,"SF@ARI 09:40PM ET",18.462,"SF"
"SP","Brad Peacock",9800,"HOU@TEX 08:05PM ET",14.386,"HOU"
"SP","Gio Gonzalez",9500,"WAS@PHI 07:05PM ET",20.048,"WAS"
"SP","Kyle Hendricks",9400,"CHC@STL 08:15PM ET",15.300,"CHC"
"SP","Rich Hill",9400,"SD@LAD 10:10PM ET",19.008,"LAD"
"SP","Alex Wood",9300,"SD@LAD 10:10PM ET",19.479,"LAD"
"SP","Drew Pomeranz",9200,"TOR@BOS 07:10PM ET",17.552,"BOS"
"SP","Tanner Roark",9200,"WAS@PHI 07:05PM ET",15.288,"WAS"
"SP","Mike Fiers",9100,"HOU@TEX 08:05PM ET",11.660,"HOU"
"SP","Patrick Corbin",9100,"SF@ARI 09:40PM ET",14.646,"ARI"
"SP","Hyun-Jin Ryu",9100,"SD@LAD 10:10PM ET",13.854,"LAD"
"SP","Cole Hamels",9000,"HOU@TEX 08:05PM ET",14.617,"TEX"
"SP","Marcus Stroman",8900,"TOR@BOS 07:10PM ET",16.153,"TOR"
"SP","Jon Gray",8900,"MIA@COL 08:40PM ET",16.703,"COL"
"SP","Charlie Morton",8700,"HOU@TEX 08:05PM ET",19.317,"HOU"
