"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Karl-Anthony Towns",10400,"Sac@Min 08:00PM ET",48.338,"Min"
"PG","Damian Lillard",9700,"Pho@Por 10:00PM ET",44.264,"Por"
"SG/SF","Jimmy Butler",9600,"Atl@Chi 05:00PM ET",43.582,"Chi"
"C","Dwight Howard",8000,"Atl@Chi 05:00PM ET",36.138,"Atl"
"PG","Ricky Rubio",7900,"Sac@Min 08:00PM ET",32.684,"Min"
"C","Jusuf Nurkic",7800,"Pho@Por 10:00PM ET",25.019,"Por"
"C","Nikola Vucevic",7600,"Orl@Bkn 06:00PM ET",35.919,"Orl"
"PG/SG","C.J. McCollum",7600,"Pho@Por 10:00PM ET",35.927,"Por"
"SG","Devin Booker",7500,"Pho@Por 10:00PM ET",32.414,"Pho"
"PG","Dennis Schroder",7400,"Atl@Chi 05:00PM ET",32.655,"Atl"
"PG","Elfrid Payton",7400,"Orl@Bkn 06:00PM ET",30.260,"Orl"
"PF/C","Paul Millsap",7300,"Atl@Chi 05:00PM ET",37.424,"Atl"
"SF","Andrew Wiggins",7200,"Sac@Min 08:00PM ET",33.838,"Min"
"PG","Tyler Ulis",7100,"Pho@Por 10:00PM ET",13.936,"Pho"
"SF/PF","T.J. Warren",7000,"Pho@Por 10:00PM ET",25.377,"Pho"
"PG","Rajon Rondo",6900,"Atl@Chi 05:00PM ET",26.138,"Chi"
"C","Brook Lopez",6700,"Orl@Bkn 06:00PM ET",34.797,"Bkn"
"PF/C","Gorgui Dieng",6200,"Sac@Min 08:00PM ET",26.807,"Min"
"SG","Tim Hardaway Jr.",6100,"Atl@Chi 05:00PM ET",22.870,"Atl"
"PG","Jeremy Lin",6100,"Orl@Bkn 06:00PM ET",27.925,"Bkn"
"PF","Nikola Mirotic",6000,"Atl@Chi 05:00PM ET",21.897,"Chi"
"PF/C","Ersan Ilyasova",5900,"Atl@Chi 05:00PM ET",25.680,"Atl"
"PF/C","Willie Cauley-Stein",5700,"Sac@Min 08:00PM ET",15.915,"Sac"
"SG","Evan Fournier",5600,"Orl@Bkn 06:00PM ET",27.198,"Orl"
"PF","Rondae Hollis-Jefferson",5600,"Orl@Bkn 06:00PM ET",21.085,"Bkn"
"PF","Aaron Gordon",5500,"Orl@Bkn 06:00PM ET",23.062,"Orl"
"SG","Buddy Hield",5400,"Sac@Min 08:00PM ET",17.280,"Sac"
