"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9800,"PIT@CLE 01:00PM ET",26.293,"PIT"
"RB","David Johnson",9400,"ARI@DET 01:00PM ET",26.613,"ARI"
"WR","Antonio Brown",8800,"PIT@CLE 01:00PM ET",21.456,"PIT"
"WR","Julio Jones",8500,"ATL@CHI 01:00PM ET",20.094,"ATL"
"WR","Odell Beckham Jr.",8300,"NYG@DAL 08:30PM ET",18.612,"NYG"
"RB","LeSean McCoy",8200,"NYJ@BUF 01:00PM ET",21.287,"BUF"
"RB","Ezekiel Elliott",8100,"NYG@DAL 08:30PM ET",22.731,"DAL"
"WR","A.J. Green",8000,"BAL@CIN 01:00PM ET",19.840,"CIN"
"WR","Mike Evans",7800,"TB@MIA 01:00PM ET",19.756,"TB"
"WR","Jordy Nelson",7600,"SEA@GB 04:25PM ET",18.983,"GB"
"WR","Dez Bryant",7500,"NYG@DAL 08:30PM ET",16.229,"DAL"
"RB","DeMarco Murray",7400,"OAK@TEN 01:00PM ET",19.363,"TEN"
"QB","Ben Roethlisberger",7300,"PIT@CLE 01:00PM ET",18.980,"PIT"
"WR","Amari Cooper",7200,"OAK@TEN 01:00PM ET",14.547,"OAK"
"QB","Cam Newton",7100,"CAR@SF 04:25PM ET",18.617,"CAR"
"RB","Devonta Freeman",7000,"ATL@CHI 01:00PM ET",18.444,"ATL"
"QB","Aaron Rodgers",7000,"SEA@GB 04:25PM ET",26.073,"GB"
"QB","Matt Ryan",6900,"ATL@CHI 01:00PM ET",24.759,"ATL"
"WR","T.Y. Hilton",6900,"IND@LAR 04:05PM ET",18.238,"IND"
"QB","Russell Wilson",6900,"SEA@GB 04:25PM ET",18.257,"SEA"
"QB","Marcus Mariota",6800,"OAK@TEN 01:00PM ET",18.463,"TEN"
"QB","Derek Carr",6700,"OAK@TEN 01:00PM ET",19.299,"OAK"
"WR","Doug Baldwin",6700,"SEA@GB 04:25PM ET",17.372,"SEA"
"QB","Jameis Winston",6600,"TB@MIA 01:00PM ET",18.069,"TB"
"WR","Golden Tate",6500,"ARI@DET 01:00PM ET",14.035,"DET"
"RB","Jay Ajayi",6500,"TB@MIA 01:00PM ET",14.738,"MIA"
"QB","Andrew Luck",6500,"IND@LAR 04:05PM ET",22.713,"IND"
"QB","Kirk Cousins",6400,"PHI@WAS 01:00PM ET",21.018,"WAS"
"RB","Jordan Howard",6300,"ATL@CHI 01:00PM ET",16.807,"CHI"
"QB","Dak Prescott",6300,"NYG@DAL 08:30PM ET",19.427,"DAL"
"QB","Tyrod Taylor",6200,"NYJ@BUF 01:00PM ET",18.795,"BUF"
"WR","Sammy Watkins",6200,"IND@LAR 04:05PM ET",10.750,"LAR"
"TE","Greg Olsen",6200,"CAR@SF 04:25PM ET",13.331,"CAR"
"QB","Matthew Stafford",6100,"ARI@DET 01:00PM ET",18.440,"DET"
"WR","Terrelle Pryor Sr.",6100,"PHI@WAS 01:00PM ET",13.903,"WAS"
"RB","Darren McFadden",6100,"NYG@DAL 08:30PM ET",3.350,"DAL"
"WR","Martavis Bryant",6000,"PIT@CLE 01:00PM ET",0,"PIT"
"QB","Carson Palmer",6000,"ARI@DET 01:00PM ET",18.608,"ARI"
"WR","Michael Crabtree",6000,"OAK@TEN 01:00PM ET",14.918,"OAK"
"RB","Todd Gurley",6000,"IND@LAR 04:05PM ET",12.450,"LAR"
"WR","Larry Fitzgerald",5900,"ARI@DET 01:00PM ET",15.488,"ARI"
"WR","DeAndre Hopkins",5900,"JAX@HOU 01:00PM ET",12.978,"HOU"
