"","player_id","birth_date","first_name","height","last_name","name","position_abbreviation","salary","slug","playing_position_id","team_id"
"4","0f32d815-8dfa-42c2-b310-349098e1d086","1990-12-17","Jared",73,"Abbrederis","Jared Abbrederis","WR",435000,"nfl-jared-abbrederis","4934c69f-7843-4bab-97e8-8dc941a2a226","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"7","c165562d-e4d4-41e4-9166-e785c0d3d79f","1993-06-13","Ameer",69,"Abdullah","Ameer Abdullah","RB",755659,"nfl-ameer-abdullah","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","82fedbfa-8c2c-46cc-b02f-ea16abf5ffc9"
"10","2cf585e8-8b21-49c0-9e03-f24fcc9ed7a1",NA,"Khalid",69,"Abdullah","Khalid Abdullah","RB",NA,"nfl-khalid-abdullah",NA,"47b8904b-4d56-481a-ab06-6e56dfe59f78"
"12","63f85166-fb89-4634-85d0-02befe743f9d","1982-12-21","Rob",74,"Abiamiri","Rob Abiamiri","TE",NA,"nfl-rob-abiamiri","05da6032-e719-4daf-8e6a-95a440e448ea","15cdbc22-7b1e-4012-a731-987ca52e3c05"
"30","960fbc5f-aaad-449b-b498-68a1ea277aa8","1992-12-24","Davante",73,"Adams","Davante Adams","WR",893955,"nfl-davante-adams","4934c69f-7843-4bab-97e8-8dc941a2a226","ade9a19b-3dfb-4436-aefd-e54f1c0d1a20"
"31","b70fb705-b441-4d25-a875-2856f3f07cb1",NA,"DJ",NA,"Adams","DJ Adams","RB",NA,"lane-adams",NA,"d61f132b-29f6-4140-847b-efb50ea9ccba"
"39","c4cb83fe-a505-4755-a2a7-4a88416282bd","1992-12-31","Jerell",77,"Adams","Jerell Adams","TE",NA,"nfl-jerell-adams","05da6032-e719-4daf-8e6a-95a440e448ea","47b8904b-4d56-481a-ab06-6e56dfe59f78"
"46","e638f5ea-2ba5-4fb9-a6e7-b567acddffe1","1988-01-19","Kyle",76,"Adams","Kyle Adams","TE",NA,"nfl-kyle-adams","05da6032-e719-4daf-8e6a-95a440e448ea","009ff336-845b-411b-8ee5-9b3089e99398"
"54","0cd838ac-3f8e-4170-b6f1-b5efb9a3dde0","1994-09-15","Rodney",73,"Adams","Rodney Adams","WR",NA,"nfl-rodney-adams",NA,"273bc0eb-8984-4474-bbc8-5cce491aa662"
"62","bec569e9-f457-4619-89e5-4207d874b9cd","1983-05-03","Joseph",71,"Addai","Joseph Addai","RB",NA,"nfl-joseph-addai","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","557d1013-6b50-4998-885b-d121af071867"
"63","2d1002cd-edbd-4bd5-af37-090d151677ba",NA,"Bralon",70,"Addison","Bralon Addison","WR",NA,"nfl-bralon-addison","4934c69f-7843-4bab-97e8-8dc941a2a226","009ff336-845b-411b-8ee5-9b3089e99398"
"65","b5ead2d2-9a3c-4261-bf81-492f04dc7851","1995-05-26","Quincy",75,"Adeboyejo","Quincy Adeboyejo","WR",NA,"nfl-quincy-adeboyejo",NA,"15cdbc22-7b1e-4012-a731-987ca52e3c05"
"76","2bd77119-51cb-452e-b71f-fbf0e7a4aebe","1993-05-24","Nelson",72,"Agholor","Nelson Agholor","WR",1704977,"nfl-nelson-agholor","4934c69f-7843-4bab-97e8-8dc941a2a226","9990f062-0d8d-4dbf-82cc-73f3d5dfe532"
"82","0108522a-d012-4b80-a695-28af504b4cc8","1985-10-02","Robbie",78,"Agnone","Robbie Agnone","TE",NA,"nfl-robbie-agnone","05da6032-e719-4daf-8e6a-95a440e448ea","c1618ca6-3dad-485d-b237-ad34f8d0bf83"
"84","3f7237d1-e1da-46bd-a835-80d3f23fc9cf","1994-02-01","Carlton",78,"Agudosi","Carlton Agudosi","WR",NA,"nfl-carlton-agudosi",NA,"77c57737-b688-4bbf-a127-7b7f0ef8bcdd"
"89","b6825b56-2d50-477b-b2ca-091f8bc13ba0","1989-05-30","Kamar",74,"Aiken","Kamar Aiken","WR",585000,"nfl-kamar-aiken","4934c69f-7843-4bab-97e8-8dc941a2a226","557d1013-6b50-4998-885b-d121af071867"
"92","af76a304-7b56-48d5-b214-58bfecc192e3","1986-06-12","Erik",77,"Ainge","Erik Ainge","QB",NA,"nfl-erik-ainge","bca0ee16-51ba-4a18-9b2b-57412b101677","8112be50-1ec2-47c0-ab27-b4fc4654aa5b"
"97","f1f558c1-f822-45ee-8274-8b823c128d49","1993-06-15","Jay",72,"Ajayi","Jay Ajayi","RB",435144,"nfl-jay-ajayi","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","49b7f5ba-da40-4b42-be4b-c68b4f9257e8"
"118","6d7e6686-c97b-4f11-9581-80ce07d595db","1988-08-07","Danario",77,"Alexander","Danario Alexander","WR",NA,"nfl-danario-alexander","4934c69f-7843-4bab-97e8-8dc941a2a226","d1f76207-7303-484f-a25f-b00d1eb46ecd"
"134","a6660df9-9855-4ef7-9e06-0fc2c27909f6","1977-08-30","Shaun",71,"Alexander","Shaun Alexander","RB",NA,"nfl-shaun-alexander","92b07ec8-fdf7-4052-8f29-2bc02d38a7aa","1c4f553a-bde3-4229-8565-9c40401a9956"
"141","c646e676-7229-4dd4-b2bd-c8c71ff76012","1993-02-25","Mario",68,"Alford","Mario Alford","WR",449776,"nfl-mario-alford","4934c69f-7843-4bab-97e8-8dc941a2a226","ecf6a705-7a54-4f36-9dcd-09a0c53e733b"
"144","05ed89cc-f91e-4ebd-8671-a48b992b2b6a","1993-09-19","Mo",78,"Alie-Cox","Mo Alie-Cox","TE",NA,"nfl-mo-alie-cox",NA,"557d1013-6b50-4998-885b-d121af071867"
"155","28914553-5f88-479b-a171-784766ddd94f","1992-09-05","Brandon",74,"Allen","Brandon Allen","QB",NA,"nfl-brandon-allen","bca0ee16-51ba-4a18-9b2b-57412b101677","0fc8a1cb-bb61-4eba-b448-1d313813f0d1"
"161","872b8033-d932-4c63-8a64-9a3d89d06b8a","1993-04-06","Davonte",74,"Allen","Davonte Allen","WR",NA,"nfl-davonte-allen","4934c69f-7843-4bab-97e8-8dc941a2a226","50990622-f5d7-4597-b9b3-c73c9be32af2"
"163","5ed4885e-223c-42ed-aa86-f465b2db6f5b","1990-02-24","Dwayne",75,"Allen","Dwayne Allen","TE",1717826,"nfl-dwayne-allen","05da6032-e719-4daf-8e6a-95a440e448ea","5546974d-27c2-4d93-a63e-d8320952e871"
